City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Torbay,CA,78.76,broken clouds,47.6666,-52.7314,Gallows Cove
4,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Sinnamary,GF,81.63,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
20,Pescara,IT,82.56,clear sky,42.3333,13.95,Casa Gavenniae
23,Kaseda,JP,78.64,broken clouds,31.4167,130.3167,Sun Stay Kaseda
25,Hobyo,SO,76.15,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
26,Victoria,HK,86.18,clear sky,22.2855,114.1577,Mini Central
27,Merritt,CA,84.25,broken clouds,50.1123,-120.7942,Ramada Limited Merritt
30,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
31,Benicarlo,ES,82.9,clear sky,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
32,Avera,US,88.56,overcast clouds,33.194,-82.5271,
34,Atuona,PF,77.58,few clouds,-9.8,-139.0333,Villa Enata
39,Butaritari,KI,80.22,moderate rain,3.0707,172.7902,Isles Sunset Lodge
42,Terra Santa,BR,89.37,scattered clouds,-2.1042,-56.4869,Hotel Sarah
44,Chillicothe,US,89.26,clear sky,39.3331,-82.9824,Holiday Inn Express Chillicothe East
47,Srandakan,ID,75.69,overcast clouds,-7.9386,110.2506,Puri Brata
52,Bubaque,GW,78.76,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
54,Hilo,US,81.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
55,Pangai,TO,76.44,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
57,Tamandare,BR,75.42,light rain,-8.7597,-35.1047,Pousada 100 Passos
62,Catalao,BR,78.33,few clouds,-18.1658,-47.9464,Mara Turismo Hotel
66,Puerto Del Rosario,ES,80.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
67,Marivan,IR,75.88,clear sky,35.5219,46.176,Teacher's House
69,Bismil,TR,89.33,clear sky,37.8486,40.6658,Hotel Dolay
76,Amapa,BR,83.84,overcast clouds,1.0,-52.0,
77,Arantangi,IN,81.97,overcast clouds,10.1667,78.9833,Hotel Sami V Landmarks
82,Pingshan,CN,78.39,clear sky,22.9938,114.7131,Island Skylight Resort
86,Black River,JM,89.67,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
90,Cocobeach,GA,76.77,scattered clouds,1.0002,9.5823,Hotel Esperance
96,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
98,Witu,KE,75.36,clear sky,-2.3889,40.4382,
100,Anloga,GH,75.54,few clouds,5.7947,0.8973,Pin Drop Hotel
102,Hithadhoo,MV,80.64,moderate rain,-0.6,73.0833,Scoop Guest House
104,Talagang,PK,80.19,moderate rain,32.9297,72.4158,Sajid Iqbal Manzil
108,Daru,PG,75.72,broken clouds,-9.0763,143.2092,Daru Lodge
109,Nabire,ID,75.34,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
110,Pacatuba,BR,76.37,overcast clouds,-3.9842,-38.6203,Pousada das Andreias
112,Tablas,PH,79.2,overcast clouds,6.6292,122.1747,Hamdie Sulaiman
114,Sorong,ID,78.04,few clouds,-0.8833,131.25,Waigo Splash Hotel
115,Dayong,CN,79.66,clear sky,25.0209,118.2898,Haiyue Express Hotel
