City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Torbay,47.6666,-52.7314,78.76,63,76,3.74,CA,broken clouds
1,Ushuaia,-54.8,-68.3,31.66,86,40,17.27,AR,shower snow
2,Orlik,52.5178,99.825,47.8,85,85,2.15,RU,overcast clouds
3,Bambous Virieux,-20.3428,57.7575,69.22,69,94,20.11,MU,light rain
4,Puerto Ayora,-0.7393,-90.3518,78.76,86,73,5.01,EC,broken clouds
5,Tiksi,71.6872,128.8694,40.84,84,82,10.07,RU,broken clouds
6,Zeya,53.75,127.2667,60.8,85,89,3.2,RU,overcast clouds
7,Avarua,-21.2078,-159.775,69.85,83,75,14.97,CK,light rain
8,Ilulissat,69.2167,-51.1,51.82,82,75,5.75,GL,broken clouds
9,Carnarvon,-24.8667,113.6333,63.09,71,54,16.64,AU,broken clouds
10,Dikson,73.5069,80.5464,43.16,95,100,20.0,RU,light rain
11,Sinnamary,5.3833,-52.95,81.63,76,20,8.7,GF,few clouds
12,Nyazepetrovsk,56.0531,59.6028,51.6,96,3,2.91,RU,clear sky
13,Mataura,-46.1927,168.8643,37.47,95,100,0.54,NZ,overcast clouds
14,Talcahuano,-36.7167,-73.1167,53.28,94,100,5.75,CL,overcast clouds
15,Albany,42.6001,-73.9662,96.17,44,14,1.99,US,few clouds
16,Saint-Philippe,-21.3585,55.7679,65.79,83,46,14.52,RE,light rain
17,Tuatapere,-46.1333,167.6833,43.75,90,99,1.48,NZ,overcast clouds
18,Aklavik,68.2191,-135.0107,64.4,63,75,8.05,CA,broken clouds
19,Rikitea,-23.1203,-134.9692,74.95,78,86,19.15,PF,light rain
20,Pescara,42.3333,13.95,82.56,37,2,4.88,IT,clear sky
21,Vaini,-21.2,-175.2,73.92,77,59,10.25,TO,broken clouds
22,Port Alfred,-33.5906,26.891,58.32,70,0,3.44,ZA,clear sky
23,Kaseda,31.4167,130.3167,78.64,85,76,13.06,JP,broken clouds
24,Cidreira,-30.1811,-50.2056,63.75,89,100,5.57,BR,overcast clouds
25,Hobyo,5.3505,48.5268,76.15,82,35,24.56,SO,scattered clouds
26,Victoria,22.2855,114.1577,86.18,80,0,4.0,HK,clear sky
27,Merritt,50.1123,-120.7942,84.25,22,54,8.48,CA,broken clouds
28,Beitbridge,-22.2167,30.0,66.63,63,5,7.87,ZW,clear sky
29,Hobart,-42.8794,147.3294,39.27,91,2,1.01,AU,clear sky
30,Georgetown,5.4112,100.3354,80.53,78,20,0.0,MY,few clouds
31,Benicarlo,40.4165,0.4271,82.9,75,0,4.05,ES,clear sky
32,Avera,33.194,-82.5271,88.56,52,100,13.2,US,overcast clouds
33,Rocha,-34.4833,-54.3333,53.56,83,100,7.4,UY,overcast clouds
34,Atuona,-9.8,-139.0333,77.58,72,16,15.61,PF,few clouds
35,Koumac,-20.5667,164.2833,74.66,85,75,9.04,NC,broken clouds
36,Mahebourg,-20.4081,57.7,70.09,78,75,23.02,MU,broken clouds
37,Barrow,71.2906,-156.7887,44.62,76,0,26.46,US,clear sky
38,Pisco,-13.7,-76.2167,64.45,68,0,9.22,PE,clear sky
39,Butaritari,3.0707,172.7902,80.22,77,95,4.68,KI,moderate rain
40,Chara,56.9064,118.2631,61.18,89,100,0.92,RU,light rain
41,Kodiak,57.79,-152.4072,54.91,88,100,6.91,US,overcast clouds
42,Terra Santa,-2.1042,-56.4869,89.37,51,48,3.51,BR,scattered clouds
43,East London,-33.0153,27.9116,59.99,72,4,4.63,ZA,clear sky
44,Chillicothe,39.3331,-82.9824,89.26,48,0,12.66,US,clear sky
45,Doka,13.5167,35.7667,74.41,80,100,8.43,SD,overcast clouds
46,Busselton,-33.65,115.3333,57.74,77,62,10.85,AU,broken clouds
47,Srandakan,-7.9386,110.2506,75.69,83,100,9.57,ID,overcast clouds
48,Luwingu,-10.2621,29.9271,65.77,42,97,4.21,ZM,overcast clouds
49,Ahipara,-35.1667,173.1667,53.64,88,87,7.9,NZ,overcast clouds
50,Cape Town,-33.9258,18.4232,59.38,80,0,6.91,ZA,clear sky
51,Constitucion,-35.3333,-72.4167,59.05,71,3,9.35,CL,clear sky
52,Bubaque,11.2833,-15.8333,78.76,85,100,16.35,GW,light rain
53,Araouane,18.9048,-3.5265,95.16,33,20,6.6,ML,light rain
54,Hilo,19.7297,-155.09,81.28,95,75,5.75,US,moderate rain
55,Pangai,-19.8,-174.35,76.44,71,50,10.98,TO,scattered clouds
56,Mar Del Plata,-38.0023,-57.5575,56.08,53,99,14.0,AR,overcast clouds
57,Tamandare,-8.7597,-35.1047,75.42,84,92,10.71,BR,light rain
58,Qaanaaq,77.484,-69.3632,44.28,74,100,8.55,GL,overcast clouds
59,Upernavik,72.7868,-56.1549,46.58,93,100,12.75,GL,light rain
60,Poronaysk,49.2167,143.1167,57.09,90,100,4.36,RU,overcast clouds
61,Grindavik,63.8424,-22.4338,55.35,93,100,8.05,IS,overcast clouds
62,Catalao,-18.1658,-47.9464,78.33,31,20,7.52,BR,few clouds
63,Yaan,7.3833,8.5667,71.83,94,100,4.23,NG,light rain
64,Fairbanks,64.8378,-147.7164,62.94,67,75,0.0,US,broken clouds
65,San Patricio,28.017,-97.5169,99.32,39,4,20.27,US,clear sky
66,Puerto Del Rosario,28.5004,-13.8627,80.35,65,0,16.11,ES,clear sky
67,Marivan,35.5219,46.176,75.88,21,0,1.54,IR,clear sky
68,Mpulungu,-8.7623,31.1141,72.5,50,32,5.84,ZM,scattered clouds
69,Bismil,37.8486,40.6658,89.33,30,0,7.76,TR,clear sky
70,Pokhara,28.2333,83.9833,72.1,88,100,4.09,NP,overcast clouds
71,Bako,5.7833,36.5667,66.97,65,91,2.62,ET,overcast clouds
72,Teguise,29.0605,-13.564,71.82,78,20,25.32,ES,few clouds
73,Taylor,32.3001,-99.8337,93.33,35,40,9.22,US,scattered clouds
74,New Norfolk,-42.7826,147.0587,38.91,81,4,2.82,AU,clear sky
75,Cherskiy,68.75,161.3,40.59,68,98,9.78,RU,overcast clouds
76,Amapa,1.0,-52.0,83.84,66,88,2.62,BR,overcast clouds
77,Arantangi,10.1667,78.9833,81.97,76,100,10.76,IN,overcast clouds
78,Bengkulu,-3.8004,102.2655,74.95,92,80,4.25,ID,broken clouds
79,Kachug,53.9606,105.8817,55.96,77,100,0.83,RU,overcast clouds
80,Deputatskiy,69.3,139.9,41.92,81,4,5.12,RU,clear sky
81,Comodoro Rivadavia,-45.8667,-67.5,44.46,29,40,19.57,AR,scattered clouds
82,Pingshan,22.9938,114.7131,78.39,87,0,0.47,CN,clear sky
83,Khatanga,71.9667,102.5,50.09,84,100,13.53,RU,overcast clouds
84,Binzhou,37.3667,118.0167,74.34,73,2,3.11,CN,clear sky
85,Punta Arenas,-53.15,-70.9167,35.62,80,40,26.46,CL,scattered clouds
86,Black River,18.0264,-77.8487,89.67,55,10,17.9,JM,clear sky
87,Port Elizabeth,-33.918,25.5701,46.69,93,0,3.44,ZA,clear sky
88,Yulara,-25.2406,130.9889,48.67,41,0,7.83,AU,clear sky
89,Tazovskiy,67.4667,78.7,43.75,84,100,3.24,RU,overcast clouds
90,Cocobeach,1.0002,9.5823,76.77,80,47,8.25,GA,scattered clouds
91,Darhan,49.4867,105.9228,54.75,96,100,6.2,MN,light rain
92,Sorland,67.667,12.6934,54.12,91,100,21.9,NO,overcast clouds
93,Betong,5.7743,101.0723,70.99,99,100,2.26,TH,overcast clouds
94,Mihaesti,45.0333,24.25,70.57,40,0,5.82,RO,clear sky
95,Lompoc,34.6391,-120.4579,94.01,69,0,19.57,US,clear sky
96,Mao,39.8885,4.2658,79.36,73,0,5.75,ES,clear sky
97,Paita,-5.0892,-81.1144,69.08,68,24,14.76,PE,few clouds
98,Witu,-2.3889,40.4382,75.36,80,2,14.54,KE,clear sky
99,Mackay,-21.15,149.2,58.68,87,34,4.56,AU,scattered clouds
100,Anloga,5.7947,0.8973,75.54,79,12,13.69,GH,few clouds
101,Boda,4.3189,17.4695,70.48,95,100,1.45,CF,moderate rain
