City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Maniitsoq,GL,2022-07-17 04:24:01,65.4167,-52.9,41.23,85,80,8.55
1,Katsuura,JP,2022-07-17 04:31:57,35.1333,140.3,75.22,83,52,16.04
2,Yulara,AU,2022-07-17 04:25:07,-25.2406,130.9889,68.99,12,1,6.46
3,Tezu,IN,2022-07-17 04:31:57,27.9167,96.1667,86.72,90,72,3.6
4,Bayeux,BR,2022-07-17 04:31:57,-7.125,-34.9322,74.03,94,75,10.36
5,Bethel,US,2022-07-17 04:31:58,41.3712,-73.414,71.96,89,0,0.0
6,Jamestown,US,2022-07-17 04:31:12,42.097,-79.2353,64.02,78,65,4.23
7,Darhan,MN,2022-07-17 04:31:58,49.4867,105.9228,77.88,40,2,7.76
8,Rikitea,PF,2022-07-17 04:31:59,-23.1203,-134.9692,73.8,73,100,16.73
9,Mahebourg,MU,2022-07-17 04:31:59,-20.4081,57.7,72.25,73,40,13.8
10,Punta Arenas,CL,2022-07-17 04:31:59,-53.15,-70.9167,32.11,86,75,16.11
11,Carnarvon,AU,2022-07-17 04:32:00,-24.8667,113.6333,72.59,47,88,7.07
12,Hermanus,ZA,2022-07-17 04:28:28,-34.4187,19.2345,61.41,51,2,4.56
13,Chuy,UY,2022-07-17 04:32:00,-33.6971,-53.4616,46.22,86,100,15.41
14,Saskylakh,RU,2022-07-17 04:32:00,71.9167,114.0833,62.4,49,92,12.93
15,Villa Juarez,MX,2022-07-17 04:32:01,24.6536,-107.5411,82.65,82,75,0.0
16,Memphis,US,2022-07-17 04:31:27,35.1495,-90.049,84.33,66,75,6.91
17,Acapulco,MX,2022-07-17 04:30:14,16.8634,-99.8901,73.22,94,100,4.61
18,Albany,US,2022-07-17 04:29:02,42.6001,-73.9662,71.89,88,64,3.49
19,Touros,BR,2022-07-17 04:32:01,-5.1989,-35.4608,74.14,91,75,12.19
20,Albanel,CA,2022-07-17 04:32:02,48.8832,-72.4487,59.14,94,85,1.14
21,Georgetown,MY,2022-07-17 04:27:53,5.4112,100.3354,89.53,74,20,5.75
22,Kapaa,US,2022-07-17 04:27:30,22.0752,-159.319,84.18,81,100,16.11
23,Atar,MR,2022-07-17 04:30:10,20.5169,-13.0499,88.63,17,2,2.55
24,Nikolskoye,RU,2022-07-17 04:22:39,59.7035,30.7861,55.29,77,72,5.3
25,Aklavik,CA,2022-07-17 04:27:36,68.2191,-135.0107,60.04,70,79,6.58
26,Opuwo,NA,2022-07-17 04:32:03,-18.0607,13.84,52.09,42,0,7.49
27,Yellowknife,CA,2022-07-17 04:28:39,62.456,-114.3525,64.92,77,75,8.05
28,Tasiilaq,GL,2022-07-17 04:32:04,65.6145,-37.6368,42.96,73,93,4.76
29,Kaitangata,NZ,2022-07-17 04:32:04,-46.2817,169.8464,46.15,77,97,4.27
30,Ugoofaaru,MV,2022-07-17 04:32:04,5.6667,73.0,82.09,77,86,7.87
31,La Rinconada,ES,2022-07-17 04:32:05,37.4873,-5.9826,79.05,54,0,3.44
32,Hithadhoo,MV,2022-07-17 04:32:05,-0.6,73.0833,84.97,69,28,14.74
33,Abu Zabad,SD,2022-07-17 04:32:05,12.35,29.25,78.03,69,96,7.31
34,Port Hedland,AU,2022-07-17 04:32:06,-20.3167,118.5667,80.65,17,1,9.22
35,Sur,OM,2022-07-17 04:22:35,22.5667,59.5289,85.15,70,100,13.94
36,Shirokaya Rechka,RU,2022-07-17 04:32:06,56.7986,60.4852,72.86,56,9,9.1
37,Ushuaia,AR,2022-07-17 04:30:24,-54.8,-68.3,40.66,56,40,5.75
38,Mataura,NZ,2022-07-17 04:32:07,-46.1927,168.8643,52.48,82,86,4.43
39,Pervomayskoye,RU,2022-07-17 04:32:07,43.919,46.7102,86.63,40,0,13.49
40,Avarua,CK,2022-07-17 04:32:07,-21.2078,-159.775,73.45,78,75,10.36
41,Emba,KZ,2022-07-17 04:32:08,48.8264,58.1442,81.05,43,4,7.47
42,Nouadhibou,MR,2022-07-17 04:32:08,20.931,-17.0347,67.8,89,28,25.46
43,Richmond,US,2022-07-17 04:29:28,37.5538,-77.4603,71.58,94,75,5.75
44,Praia,CV,2022-07-17 04:32:09,14.9215,-23.5087,77.54,78,75,4.61
45,Ilulissat,GL,2022-07-17 04:32:09,69.2167,-51.1,42.82,75,20,2.3
46,Atuona,PF,2022-07-17 04:32:09,-9.8,-139.0333,77.79,72,41,15.12
47,Busselton,AU,2022-07-17 04:32:10,-33.65,115.3333,57.81,74,100,14.56
48,Mahbubabad,IN,2022-07-17 04:33:10,17.6167,80.0167,80.71,81,100,11.9
49,Bredasdorp,ZA,2022-07-17 04:33:10,-34.5322,20.0403,58.96,36,4,6.71
50,Okha,RU,2022-07-17 04:23:54,53.5739,142.9478,61.66,71,53,18.61
51,George Town,MY,2022-07-17 04:32:23,5.4112,100.3354,89.53,74,20,5.75
52,Qaanaaq,GL,2022-07-17 04:33:11,77.484,-69.3632,47.86,67,12,2.75
53,Montrose,US,2022-07-17 04:33:11,38.4166,-108.2673,71.01,40,6,1.77
54,Kuala Pilah,MY,2022-07-17 04:33:12,2.7389,102.2487,92.8,50,56,3.31
55,Dover,US,2022-07-17 04:30:20,39.1582,-75.5244,72.07,99,75,5.75
56,Toul,FR,2022-07-17 04:30:44,48.6667,5.9167,58.01,77,0,0.0
57,Salina Cruz,MX,2022-07-17 04:33:12,16.1667,-95.2,78.57,78,94,10.51
58,Nanortalik,GL,2022-07-17 04:33:13,60.1432,-45.2371,40.6,86,13,6.82
59,Lompoc,US,2022-07-17 04:33:13,34.6391,-120.4579,57.85,94,75,8.05
60,Lagoa,PT,2022-07-17 04:25:11,39.05,-27.9833,69.62,88,75,7.63
61,Caravelas,BR,2022-07-17 04:33:14,-17.7125,-39.2481,69.1,93,9,4.74
62,Harare,ZW,2022-07-17 04:33:14,-17.8294,31.0539,43.83,88,1,8.77
63,Butaritari,KI,2022-07-17 04:33:14,3.0707,172.7902,80.85,76,99,7.11
64,Bengkulu,ID,2022-07-17 04:33:15,-3.8004,102.2655,85.1,65,85,6.44
65,Dharchula,IN,2022-07-17 04:33:15,29.85,80.5333,85.44,64,11,6.11
66,Barrow,US,2022-07-17 04:33:15,71.2906,-156.7887,37.42,87,100,17.27
67,Kodiak,US,2022-07-17 04:33:16,57.79,-152.4072,58.51,82,100,0.0
68,Pedasi,PA,2022-07-17 04:33:16,7.5333,-80.0333,76.06,80,100,5.28
69,Kathu,TH,2022-07-17 04:33:16,7.9178,98.3332,85.82,99,100,8.81
70,Port Alfred,ZA,2022-07-17 04:33:17,-33.5906,26.891,66.22,40,13,12.59
71,Zhezkazgan,KZ,2022-07-17 04:28:55,47.8043,67.7144,80.58,36,0,13.42
72,Xiantao,CN,2022-07-17 04:33:17,30.3833,113.4,83.68,82,98,6.76
73,Santiago Del Estero,AR,2022-07-17 04:33:18,-27.7951,-64.2615,42.3,74,0,4.92
74,Inuvik,CA,2022-07-17 04:30:17,68.3499,-133.7218,57.96,94,100,4.61
75,Arraial Do Cabo,BR,2022-07-17 04:23:59,-22.9661,-42.0278,70.65,88,100,19.93
76,Puerto Ayora,EC,2022-07-17 04:33:18,-0.7393,-90.3518,68.56,95,29,8.99
77,Umm Bab,QA,2022-07-17 04:33:19,25.2142,50.8072,93.16,58,90,3.36
78,Batagay-Alyta,RU,2022-07-17 04:33:19,67.8006,130.4114,46.44,90,100,3.58
